Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
377,14:21.13,,Ned FARRINGTON,,USA,10f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,971
378,14:21.19,,Nicholas KIPROTICH,,KEN,6,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,971
379,14:21.24,,Chris ANDERSON,,USA,5,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,971
380,14:21.25,,Zachary CLOUD,,USA,11f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,971
381,14:21.33,,Sebastian BRINKMAN,,CAN,12f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,971
382,14:21.38,,Dawson MAYBERRY,,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,970
383,14:21.87,,Leo DONLEA,,USA,6,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,969
384,14:21.96,,Isaac KIPROP,,KEN,14,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,968
385,14:21.98,,Aidan COX,01 JUN 2005,USA,5f2,,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,968
386,14:22.09,,Vaughan SPAIN,18 DEC 2002,USA,3f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,968
387,14:22.15,,Charlie SIEBERT,,USA,13f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,968
388,14:22.49,,Daniel O'BRIEN,,USA,14f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,967
389,14:22.52,,Aidan PUFFER,,USA,5,,"Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)",24 FEB 2023,967
390,14:22.60,,Taonga MBAMBO,12 FEB 2001,NZL,9,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,966
391,14:22.77,,Asefa WETZEL,,USA,8f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,966
392,14:22.90,,Oliver WAY,21 FEB 1999,GBR,18f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,965
393,14:22.99,,Matthew MACKAY,,GBR,9f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,965
394,14:23.13,,Izaiah STEURY,,USA,17f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,965
395,14:23.19,,Alex DURANT,,GBR,12f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,964
396,14:23.20,,Gunner SCHLENDER,,USA,9,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 MAR 2023,964
397,14:23.30,,Matthew MASON,2002,CAN,10f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,964
398,14:23.32,,Paul STAMM,,USA,7,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,964
399,14:23.45,,Christian BALCER,,USA,1f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,963
400,14:23.65,,Myles RICHTER,,USA,9,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2023,963
401,14:23.70,,Zane JACKSON,,USA,9f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,963
402,14:23.75,,Vincent Kibet YEGON,05 DEC 2000,KEN,5,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",18 FEB 2023,962
403,14:23.86,,Jake PHILLIPS,,USA,11f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,962
404,14:23.87,,Lowell HENSGEN,,USA,10f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,962
405,14:23.88,,Steve ZUCCA,,USA,5f2,,"Mackal Fieldhouse, Kingston, RI (USA) (i)",25 FEB 2023,962
406,14:23.93,,Joshua MENDOZA,,USA,7,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,962
407,14:23.94,,Abraham AVILA-MARTINEZ,,USA,21f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,962
408,14:24.00,,Cooper WEST,,USA,6,,"Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)",24 FEB 2023,962
409,14:24.13,,Sam BOWERS,,USA,10,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2023,961
410,14:24.16,,Erick LARA,,USA,4f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,961
411,14:24.26,,Ethan THOMPSON,,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,961
412,14:24.36,,Teketel TYSON,17 MAR 2001,AUS,10,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,960
413,14:24.68,,James DUNNE,26 MAY 2001,IRL,16f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,959
414,14:24.76,,Gavin WHITE,17 JAN 2003,USA,11,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,959
414,14:24.76,,Ian HORSBURGH,,USA,12f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,959
416,14:25.00,,Matthew RICHTMAN,,USA,7,,"Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)",24 FEB 2023,958
417,14:25.35,,Jackson MARTINGAYLE,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,957
418,14:25.42,,Erick RAMIREZ-RAMOS,,USA,13,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",10 MAR 2023,957
419,14:25.47,,Maxwell SCOTT,,USA,8,,"Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)",24 FEB 2023,957
420,14:25.65,,Connor NISBET,,USA,18f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,956
421,14:25.88,,Murdoch MCINTYRE,28 OCT 2001,NZL,6,,"Convention Center, Albuquerque, NM (USA) (i)",25 FEB 2023,955
422,14:25.92,,Coleman CRONK,,USA,11f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,955
422,14:25.92,,Payton GLEASON,,USA,9,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,955
424,14:25.93,,Franky ROMANO,,USA,5f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,955
424,14:25.93,,Kelvin BUNGEI,,KEN,7,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2023,955
426,14:25.99,,Daniel SCHMIDT,,DEN,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,955
427,14:26.13,,Mason BROWN,,USA,7,,"Convention Center, Albuquerque, NM (USA) (i)",25 FEB 2023,955
428,14:26.15,,Matt CARTER,,USA,10,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 MAR 2023,954
429,14:26.22,,Christopher ALFOND,03 JAN 1998,USA,15,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,954
430,14:26.23,,Carson BEDICS,,USA,12,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2023,954
431,14:26.29,,Nicholas KARAYIANIS,,USA,1f1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",10 FEB 2023,954
432,14:26.34,,Michael PEPPY,,USA,11f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,954
432,14:26.34,,Adrian STUPHAN,,USA,14,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,954
434,14:26.36,,Tom APPENHEIMER,2001,CAN,12f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,954
435,14:26.38,,Jonas GERTSEN,15 DEC 1998,DEN,19f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,954
436,14:26.40,,Charlie HAMMEL,,USA,12f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,954
437,14:26.53,,Cameron HATLER,,USA,10f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,953
438,14:26.55,,Dominic BRUCE,,USA,15,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,953
439,14:26.80,,Colin CERNIK,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,952
440,14:26.94,,Russell SULLIVAN,,USA,14f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,952
441,14:26.98,,Ryan MARTINS,09 MAR 1999,USA,7f2,,"Mackal Fieldhouse, Kingston, RI (USA) (i)",25 FEB 2023,952
442,14:27.02,,Zack MUNSON,,USA,6f2,,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,952
443,14:27.09,,Michael NORBERG,,USA,13f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,951
444,14:27.10,,Charlie O'DONOVAN,06 AUG 1999,IRL,16f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,951
445,14:27.13,,Ian NOBLE,,USA,12,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,951
446,14:27.18,,Bob BERTEMES,15 MAR 1994,LUX,1,,"Coque Sport Center, Luxembourg (LUX) (i)",16 DEC 2023,951
447,14:27.27,,Miles AVALOS,1997,CAN,13f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,951
448,14:27.29,,Timothy GILL,15 JUL 1992,USA,14f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,951
449,14:27.30,,Nikita PAVLOV,08 APR 2003,RUS,5,,"LFK CSKA, Moskva (RUS) (i)",05 MAR 2023,951
450,14:27.43,,Saul VALDEZ,,USA,6f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,950
451,14:27.46,,Charles NAMIOT,,USA,15f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,950
452,14:27.55,,Max POLAK,18 FEB 2000,NED,15f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,950
453,14:27.56,,Matt FARRELL,,USA,17f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,950
454,14:27.58,,Blake BUYSSE,,USA,8f2,,"Mackal Fieldhouse, Kingston, RI (USA) (i)",25 FEB 2023,950
455,14:27.59,,Wesley KALLGREN,,USA,9,,"Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)",24 FEB 2023,950
456,14:27.78,,Robert CAREW,,USA,11f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,949
457,14:27.87,,Brody SMITH,,USA,17f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,949
458,14:28.26,,Anthony MONTE,,USA,15f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,947
459,14:28.30,,Evan THORNTON-SHERMAN,16 MAR 2004,USA,1f2,,"The Track at New Balance, Boston, MA (USA) (i)",18 FEB 2023,947
460,14:28.46,,Ibrahim AHMED,06 JAN 1993,CAN,8,,"Convention Center, Albuquerque, NM (USA) (i)",25 FEB 2023,947
461,14:28.47,,Bronson WINTER,,USA,18f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,947
462,14:28.53,,Skylar STIDAM,,USA,8,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,947
463,14:28.56,,Emmanuel LEBLOND,,USA,11,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 MAR 2023,946
464,14:28.95,,Wesley BOND,25 AUG 2002,USA,9f2,,"Mackal Fieldhouse, Kingston, RI (USA) (i)",25 FEB 2023,945
465,14:29.09,,Cael MULHOLLAND,28 JUL 2004,AUS,12f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,945
466,14:29.18,,Will MERRITT,13 APR 1999,USA,16,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,944
467,14:29.22,,Brandan KNEPPER,,USA,12,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",10 MAR 2023,944
468,14:29.28,,Alec SAUTER,,USA,7f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,944
469,14:29.36,,Griffin MCCAULEY,26 DEC 1999,USA,2f1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",10 FEB 2023,944
470,14:29.48,,Charlie ORTMANS,,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,943
471,14:29.59,,Felix NADEBORN,08 JUL 1997,GER,8f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,943
472,14:29.77,,Woody JEROME,15 MAY 2004,BEL,14f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,942
473,14:29.89,,Max SELBACH,24 OCT 1999,USA,3,,"The DakotaDome, Vermillion, SD (USA) (i)",26 FEB 2023,942
474,14:29.96,,Jackson LEECH,,USA,16,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,942
475,14:30.01,,Joseph YOUNG,,USA,3f2,,"The Track at New Balance, Boston, MA (USA) (i)",18 FEB 2023,942
476,14:30.04,,Nelson RUTO,,USA,14f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,942
477,14:30.14,,Lucas FLORSHEIM,,USA,14f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,941
478,14:30.53,,Chad JOHNSON,05 JAN 2000,USA,8,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2023,940
479,14:30.73,,Will SPOLLEN,,USA,9f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,939
480,14:30.78,,Patrick CANTLON,03 APR 2003,AUS,17f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,939
481,14:30.93,,Shane KNANISHU,,USA,16f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,939
482,14:31.01,,Christian STEVENS,,USA,11,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",24 FEB 2023,938
483,14:31.18,,Adam HESSLER,,USA,1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",24 FEB 2023,938
483,14:31.18,,David ZELLER,05 NOV 2001,USA,18,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,938
485,14:31.21,,Berket MESELE,,USA,18f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,938
486,14:31.25,,Noah TAYLOR,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,938
487,14:31.27,,Ben GARNER,22 JUL 1998,USA,17f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,938
488,14:31.30,,Christopher SULLIVAN,,USA,7f2,,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,937
489,14:31.31,,Sam WALDIN,29 OCT 2001,NZL,16f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,937
490,14:31.38,,Matthew PORTER,,USA,10f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,937
491,14:31.47,,Erick SANCHEZ,19 SEP 2000,USA,11f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,937
492,14:31.86,,Nick LEWIS,,USA,8,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,936
493,14:31.89,,Alex BROWN,,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,935
494,14:32.11,,Ryan TYRRELL,1998,CAN,19f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,935
495,14:32.12,,Murphy SMITH,,USA,3f1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",10 FEB 2023,935
496,14:32.16,,Kevin CONLON,,USA,17f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,935
497,14:32.39,,Liem CHOT,,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,934
498,14:32.44,,Oliver WILSON-COOK,,USA,4f1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",10 FEB 2023,934
499,14:32.52,,Nolan HOSBEIN,,USA,10,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,933
500,14:32.57,,Alan DEOGRACIAS,,USA,2,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",24 FEB 2023,933
501,14:32.75,,Jack TOLBERT,,USA,13f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,933
502,14:32.77,,Aidan PALMER,,USA,9,,"Convention Center, Albuquerque, NM (USA) (i)",25 FEB 2023,933
503,14:33.21,,Julian FRANJIEH,14 JUL 2004,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,931
504,14:33.46,,Abe ECKMAN,,USA,9,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,930
505,14:33.47,,Quinn WHITE,,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,930
506,14:33.60,,TK BERHE,,USA,16f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,930
507,14:33.65,,Andrew ERSKINE,,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,930
508,14:33.77,,Munir KABBARA,16 JAN 2000,LBN,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,929
509,14:33.81,,Michael HENNELLY,,USA,13,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2023,929
510,14:33.97,,Cody LARSON,,USA,4,,"The DakotaDome, Vermillion, SD (USA) (i)",26 FEB 2023,929
511,14:33.99,,Andrew HEALEY,,USA,17f7,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,929
512,14:34.03,,Malav MEHTA,,USA,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,928
513,14:34.15,,Rodgers KIPLIMO,,KEN,9,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2023,928
514,14:34.37,,Marlon BELDEN,,USA,19,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,927
515,14:34.71,,Rylan BROWN,31 DEC 2001,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,926
516,14:34.88,,Liam OUELLETTE,,USA,18f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,926
517,14:34.90,,Jonas PRICE,,USA,21f5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,926
518,14:34.94,,Adam WHITEHEAD,,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,925
519,14:35.02,,Drew EVERETT,,USA,5f2,,"The Track at New Balance, Boston, MA (USA) (i)",18 FEB 2023,925
520,14:35.19,,Jack STANLEY,1999,CAN,14f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,925
521,14:35.20,,John O'MALLEY,,USA,21f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,925
522,14:35.46,,Alex FREY,,USA,10,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,924
523,14:35.52,,Evan SHERMAN,,USA,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,924
524,14:35.56,,Rory LEONARD,13 FEB 2001,GBR,10,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2023,923
525,14:35.58,,Bryce HUTCHINSON,,USA,11,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",10 FEB 2023,923
526,14:35.90,,Isaac MORRIS,,USA,13f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,922
527,14:35.93,,Chase HOWARD,,USA,18f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,922
528,14:36.05,,Paul BERGERON,,USA,9f2,,"The Track at New Balance, Boston, MA (USA) (i)",11 MAR 2023,922
529,14:36.18,,Ty DAVIS,,USA,10,,"Idaho-Kibbe ASUI Activity Center, Moscow, ID (USA) (i)",24 FEB 2023,921
530,14:36.74,,Jack STEIN,,USA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,920
531,14:36.84,,Sawyer DAGAN,,USA,19,,"Norton Sports Center, Louisville, KY (USA) (i)",23 FEB 2023,919
532,14:37.02,,Aleksandr RUSINOV,05 MAR 1996,RUS,6,,"LFK CSKA, Moskva (RUS) (i)",05 MAR 2023,919
533,14:37.15,,Eoghan MCELHINNEY,,IRL,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,918
534,14:37.17,,Hunter STEINAU,,USA,3,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",24 FEB 2023,918
535,14:37.31,,Cole FRANK,,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,918
536,14:37.35,,Dereck ELKINS,,USA,14,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2023,918
537,14:37.51,,Charles SCHARF,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,917
538,14:37.72,,Alex BURKS,,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,916
539,14:37.79,,Liam TILTON,13 MAY 2004,USA,5f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,916
540,14:37.82,,Jack WILLIAMS,22 OCT 2002,USA,13f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,916
541,14:37.97,,Trevor NOLAN,,USA,20,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",24 FEB 2023,916
542,14:38.02,,Elijah DE LA CERDA,,USA,19f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,915
543,14:38.10,,Timothy SINDT,,USA,11,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2023,915
544,14:38.19,,Patrick SMYTH,,USA,2f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,915
545,14:38.21,,Antonin SAINT-PEYRE,2003,FRA,15f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,915
546,14:38.24,,Tyler CLARK,,USA,6f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,915
547,14:38.39,,James RAMEY,,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,914
548,14:38.55,,Jeffrey ALLEN,,USA,13f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,914
549,14:38.56,,Justin DIEHL,,USA,5f1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",10 FEB 2023,914
550,14:38.63,,Jason GIBBONS,20 OCT 1977,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,913
551,14:38.64,,Zach JOHNSON,,USA,5,,"The DakotaDome, Vermillion, SD (USA) (i)",26 FEB 2023,913
552,14:38.75,,Aidan GILLOOLEY,,USA,14f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,913
553,14:38.80,,Griffin STAUDE,,USA,9,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,913
554,14:38.83,,Jay SHANAHAN,,USA,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 FEB 2023,913
555,14:38.95,,Bridger ALTICE,,USA,11,,"Convention Center, Albuquerque, NM (USA) (i)",25 FEB 2023,912
556,14:39.19,,Hunter KLIMEK,,USA,6,,"The DakotaDome, Vermillion, SD (USA) (i)",26 FEB 2023,912
557,14:39.31,,Gabe POULIN,,USA,15f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2023,911
558,14:39.45,,Julian HÄßNER,12 SEP 1997,GER,10,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,911
558,14:39.45,,Fionn HARRINGTON,04 AUG 2002,IRL,16f10,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,911
560,14:39.55,,Danil MELENCHUK,06 JUN 2002,RUS,7,,"LFK CSKA, Moskva (RUS) (i)",05 MAR 2023,910
561,14:39.60,,Aaron ROVNAK,,USA,6,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",18 FEB 2023,910
562,14:39.76,,Jakob KINTZELE,,USA,11,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,910
563,14:39.84,,Jarrod OTTMAN,,USA,16f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,909
564,14:39.96,,William BOYLE,2002,CAN,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,909
565,14:40.11,,Scott MCKENZIE,,USA,11,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",24 FEB 2023,909
565,14:40.11,,Daniel WINTER,,USA,17f9,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,909
567,14:40.30,,Jacob KNODLE,,USA,7,,"The DakotaDome, Vermillion, SD (USA) (i)",26 FEB 2023,908
568,14:40.39,,Andrew LITTLEHALES,,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,908
568,14:40.39,,Kieran DONNELLY,,USA,3f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,908
570,14:40.52,,Lucas BOUQUOT,,USA,14f8,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,907
571,14:40.55,,Shane HOUGHTON,,USA,4f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,907
571,14:40.55,,Miles SMITH,,USA,19f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",02 DEC 2023,907
573,14:40.74,,Troy HILL,,USA,17f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",11 FEB 2023,907
574,14:40.79,,Lance DENHALTER,22 MAR 2004,USA,12,,"The Podium, Spokane, WA (USA) (i)",17 FEB 2023,906
