Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
784,15:06.02,,Alex NOLAN,,USA,14f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,826
785,15:06.14,,Ilan SHERMAN-KADISH,,USA,14f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,826
786,15:06.24,,Jeremie GARCIA,,USA,15f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,826
786,15:06.24,,Landon BLANKENSHIP,,USA,16,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,826
788,15:06.68,,Clark BAKER,,USA,9f2,,"Holt Arena, Pocatello, ID (USA) (i)",09 FEB 2024,824
789,15:06.75,,Andrew BURR,,USA,8f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,824
790,15:06.93,,Billy DENNISON,,USA,7f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,824
791,15:07.00,,Peyton RAMSEY,,USA,10f2,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,823
792,15:07.04,,Vidhur POLAM,,USA,11,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,823
793,15:07.32,,Christopher DEFOREST,,USA,10,,"Armory Track&Field Center, New York, NY (USA) (i)",24 FEB 2024,822
794,15:07.53,,Nate SLETTEN,,USA,16f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,822
795,15:08.03,,Dathan MATON,,USA,24,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,820
796,15:08.12,,James DORADO,,USA,9f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,820
797,15:08.22,,Alex DEROUSSEL,,USA,4f1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,820
798,15:08.40,,Thomas HUNYADI,,USA,17f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,819
799,15:08.44,,James BURKE,,USA,8,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,819
800,15:08.46,,Samuel LANHAM,,USA,12,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,819
801,15:08.79,,Mateo VILLA,,USA,9f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,818
802,15:08.82,,Landen O'NEIL,,USA,8,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,818
803,15:08.87,,Lamont MARSHALL,22 JUL 1984,BER,17,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,818
804,15:08.92,,Nolan PINION,,USA,8f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,817
805,15:08.95,,Victor JUMO,,KEN,8,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,817
806,15:09.16,,Will SHAUGHNESSY,,USA,12,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,817
807,15:09.69,,Isaac RASCON,,USA,9,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",02 FEB 2024,815
808,15:09.75,,Andy STOHR,,USA,12,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,815
809,15:09.91,,Ryan BURCHETT,,USA,19,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,814
810,15:10.40,,Brian KENNEDY,,USA,4,,"The Podium, Spokane, WA (USA) (i)",02 FEB 2024,813
810,15:10.40,,Owen NAHF,,USA,11f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,813
812,15:10.75,,Evan WALDA,,USA,25,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,812
813,15:10.80,,Jacob WARNER,,USA,9f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,812
814,15:10.83,,Daniel Alemayehu BEEDER,08 OCT 1991,NOR,2,,"Leikvang Friidrettshall, Bergen (NOR) (i)",09 FEB 2024,812
815,15:10.93,,Michael ATKINS,,USA,3f1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,811
816,15:11.05,,Murdoch MCINTYRE,28 OCT 2001,NZL,17,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,811
817,15:11.07,,Jason MARKOPOULOS,,USA,19,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,811
818,15:11.09,,Patrick RUSSELL,,USA,2f2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,811
819,15:11.18,,Jacob CONNOLLY,,USA,10f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,810
820,15:11.35,,Ryan RUSSELL,,USA,3f2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,810
821,15:11.45,,Trent THIBAULT,,USA,9f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,810
822,15:11.58,,Wyatt TOWNSEND,,USA,12,,"Armory Track&Field Center, New York, NY (USA) (i)",22 FEB 2024,809
823,15:11.62,,Jacob VOGELPOHL,,USA,4f1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,809
824,15:11.76,,Jonathan RIVERA,,USA,17,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",26 FEB 2024,809
825,15:12.00,,Evan PENA,,USA,13,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",09 FEB 2024,808
826,15:12.04,,Giancarlo VEGA,,USA,4,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",02 FEB 2024,808
827,15:12.05,,Michael NORBERG,,USA,15f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,808
828,15:12.12,,Colton HALLA,,USA,12,,"Shelly Ellig Indoor T&F Facility, Fargo, ND (USA) (i)",24 FEB 2024,808
829,15:12.19,,Kadin GROEN,,USA,10f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,807
830,15:12.21,,Lance SOTELO,,USA,20,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,807
831,15:12.25,,Nigel DOS SANTOS,,USA,1,,"Liberty Indoor Complex, Lynchburg, VA (USA) (i)",19 JAN 2024,807
832,15:12.32,,Noah PLAZA,,USA,5,,"The Podium, Spokane, WA (USA) (i)",02 FEB 2024,807
833,15:12.42,,Colin MURRAY,,USA,9f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,807
834,15:12.61,,Jason GREEN,,USA,4f2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,806
835,15:13.00,,Camden MCCHESNEY,,USA,17,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,805
836,15:13.01,,Jeremy MBOGO,,USA,5,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",02 FEB 2024,805
836,15:13.01,,Luke HURD,,USA,3,,"The Podium, Spokane, WA (USA) (i)",09 FEB 2024,805
838,15:13.09,,Ethan PAPA,,USA,9,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,805
838,15:13.09,,Kári Steinn KARLSSON,19 MAY 1986,ISL,1,,"Íþróttahöllin Kaplakrika, Hafnarfjördur (ISL) (i)",09 MAR 2024,805
840,15:13.15,,William TEMPEST,,USA,10f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,804
841,15:13.51,,Yankarlos DIAZ,,USA,10,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,803
842,15:13.56,,Jack HILLER,,USA,1f1,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,803
843,15:13.62,,Jake ALBERT,,USA,10f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,803
844,15:13.72,,Joshua GREEN,,USA,1f3,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,803
845,15:13.78,,Garrett FERGUSON,,USA,13,,"Norton Sports Center, Louisville, KY (USA) (i)",02 FEB 2024,803
846,15:13.80,,Ben SAELENS,11 FEB 2004,USA,18,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,802
847,15:13.98,,Alex CARIDEO,,USA,5f2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,802
848,15:14.04,,Nick YACOUB,,USA,11f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,802
849,15:14.27,,Brig MERRITT,,USA,2,,"Bob Devaney Sports Center, Lincoln, NE (USA) (i)",16 FEB 2024,801
850,15:14.28,,Jack BOERGER,,USA,6,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",02 FEB 2024,801
851,15:14.29,,Kipruto KOECH,,USA,11f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,801
852,15:14.43,,William LAMBURN,,USA,18f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,801
853,15:14.54,,Sam BRODY,,USA,12f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,800
854,15:14.72,,Evan BUREAU,,USA,12f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,800
855,15:14.91,,Trent DINANT,,USA,10,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,799
856,15:15.27,,Stephen PADDOCK,06 OCT 1994,USA,9,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,798
857,15:15.33,,Kenneth GUY,,USA,18,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,798
858,15:15.48,,Jose ZARATE,,USA,21f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,797
859,15:15.71,,Andrew RUSH,,USA,8,,"The Podium, Spokane, WA (USA) (i)",19 FEB 2024,797
860,15:15.76,,Taman CHOKSHI,,USA,12f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,796
861,15:15.88,,David JOHNSON,1997,GER,2,,"Íþróttahöllin Kaplakrika, Hafnarfjördur (ISL) (i)",09 MAR 2024,796
862,15:15.91,,Brandon WALKER,,USA,6,,"The Podium, Spokane, WA (USA) (i)",02 FEB 2024,796
863,15:15.98,,Austin WEFER,,USA,2f1,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,796
864,15:16.00,,Thomas WOLFE,,USA,3f1,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,796
865,15:16.03,,Snorri BJÖRNSSON,05 MAR 1994,ISL,3,,"Íþróttahöllin Kaplakrika, Hafnarfjördur (ISL) (i)",09 MAR 2024,796
866,15:16.14,,Cyress WILSON,,USA,7,,"The Podium, Spokane, WA (USA) (i)",02 FEB 2024,795
867,15:16.20,,Sean GRAY,,USA,13f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,795
868,15:16.30,,Luke MALONE,,USA,26,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,795
869,15:16.34,,Nathan BOWERS,,USA,13f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,795
869,15:16.34,,Quentin WORLEY,,USA,31,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,795
871,15:16.74,,Wondu SUMMA,,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",16 FEB 2024,794
872,15:17.01,,Sam SMITH,,USA,19,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,793
873,15:17.08,,Mason BRAITHWAITE,,USA,2f1,,"Holt Arena, Pocatello, ID (USA) (i)",09 FEB 2024,792
874,15:17.43,,Collin WALSH,,USA,13f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,791
875,15:17.47,,Ethan CAREY,,USA,19f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,791
876,15:17.57,,Colby BORNSTEIN,,USA,14f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,791
877,15:17.60,,Adam WOOD,07 MAR 1999,USA,24f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,791
878,15:17.63,,Alex DURANT,,GBR,18,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,791
879,15:17.75,,Joshua NUNN,,USA,2f1,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,790
880,15:18.03,,Cameron COOK,,USA,11f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,790
881,15:18.15,,Nikolai SCHMANSKI,,USA,2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",10 FEB 2024,789
882,15:18.32,,Miles FERGUSON,,USA,8,,"The Podium, Spokane, WA (USA) (i)",02 FEB 2024,789
883,15:18.62,,Nolan ROGERS,,USA,27,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,788
884,15:19.02,,Mitchell CLARK,,USA,15f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,787
885,15:19.12,,Travis DOWD,,USA,27f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,786
886,15:19.25,,Andrew SHELLENBERGER,,USA,22f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,786
887,15:19.28,,Brian MICCO,,USA,4,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,786
888,15:19.31,,Robby ALEXANDER,,USA,10,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,786
889,15:19.41,,Iain TAYLOR,,USA,20f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,785
890,15:19.44,,Jay HALL,,USA,3,,"Sports Performance Center, Lubbock, TX (USA) (i)",09 FEB 2024,785
891,15:19.45,,Jacob KODRICK,,USA,3f1,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,785
892,15:19.54,,Jack DEELMAN,,USA,1f1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 FEB 2024,785
893,15:19.64,,James FAHEY,,USA,4f1,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,785
894,15:19.78,,Woody JEROME,15 MAY 2004,BEL,16f2,,"Virginia Beach Sports Center, Virginia Beach, VA (USA) (i)",24 FEB 2024,784
895,15:19.83,,Teddy BUCKLEY,,USA,11,,"The Podium, Spokane, WA (USA) (i)",25 FEB 2024,784
895,15:19.83,,Parker ADAMS,,USA,14f2,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,784
897,15:19.85,,Eric SHU,,USA,14f1,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,784
898,15:19.89,,Owen ERICKSON,,USA,1,,"Myers Fieldhouse, Mankato, MN (USA) (i)",27 JAN 2024,784
899,15:20.17,,Hunter JACKSON,,USA,13,,"R.A. ""Murray"" Fasken Indoor Track Stadium, College Station, TX (USA) (i)",02 FEB 2024,783
900,15:20.56,,Bennett MEOLI,,USA,20,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,782
901,15:20.80,,Asher INGRAM,,USA,9,,"The Podium, Spokane, WA (USA) (i)",19 FEB 2024,781
902,15:20.83,,Dario EPIFANIA,,USA,7,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",02 FEB 2024,781
903,15:20.85,,Owen PATRY,,USA,6f2,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",09 FEB 2024,781
904,15:21.02,,Connor DOMOY,,USA,16f3,,"Reggie Lewis Center, Boston, MA (USA) (i)",09 MAR 2024,781
905,15:21.13,,Jamison WILKES,,USA,20,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,780
906,15:21.18,,Will LOCKE,,USA,13f2,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,780
907,15:21.28,,Dawson STROM,,USA,11f2,,"Myers Fieldhouse, Mankato, MN (USA) (i)",23 FEB 2024,780
908,15:21.31,,Matthew TORRES,,USA,4f1,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,780
909,15:21.42,,Kyle STOBER,,USA,5,,"Bowen Fieldhouse, Ypsilanti, MI (USA) (i)",23 FEB 2024,779
910,15:21.44,,Jonathan CARMIN,13 JUN 2001,ISR,19,,"Convention Center, Albuquerque, NM (USA) (i)",22 FEB 2024,779
911,15:21.50,,Gavin HANSEN,,USA,2,,"Army-Gillis FH, West Point, NY (USA) (i)",17 FEB 2024,779
912,15:21.52,,Rylan BROWN,31 DEC 2001,USA,9f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",19 FEB 2024,779
913,15:21.76,,Benne HARRISON-MICHAELS,,USA,5f1,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,778
914,15:22.02,,Nicholas ROMANOW,,USA,11,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,778
915,15:22.23,,Marty DOLAN,,USA,14f2,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,777
916,15:22.49,,Jeffrey NOYES,,USA,12f1,,"Gordon Track, Harvard University, Boston, MA (USA) (i)",18 FEB 2024,776
917,15:22.64,,Charles MARTINEZ,,USA,9,,"The Podium, Spokane, WA (USA) (i)",02 FEB 2024,776
918,15:22.67,,Timothy PURCELL,,USA,12,,"Armory Track&Field Center, New York, NY (USA) (i)",02 MAR 2024,776
919,15:22.76,,Aiden MASSE,,USA,6f1,,"The Track at New Balance, Boston, MA (USA) (i)",19 FEB 2024,775
920,15:22.78,,Trevor MAXVILLE,,USA,10f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,775
921,15:22.93,,Cade MCCADAMS,,USA,5f1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,775
922,15:23.05,,Kameron WALLIZADA,08 OCT 2002,USA,21,,"Alachua County Sports Complex, Gainesville, FL (USA) (i)",23 FEB 2024,774
923,15:23.53,,Kyler STEWART,,USA,6f1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",21 FEB 2024,773
924,15:23.67,,Noah TEGELER,,USA,11f2,,"Fall Creek Pavilion, Indianapolis, IN (USA) (i)",24 FEB 2024,773
925,15:24.06,,Jonas HARTLINE,,USA,4,,"The Podium, Spokane, WA (USA) (i)",09 FEB 2024,771
926,15:24.49,,Karson HOLLANDER,,USA,28,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",25 FEB 2024,770
927,15:24.61,,Luca CAZZANIGA,,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",16 FEB 2024,770
928,15:24.92,,Jack LOMBARDI,,USA,12,,"Ocean Breeze Athl. Complex, New York, NY (USA) (i)",19 FEB 2024,769
