Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
102,13:46.46,,Brandon OLDEN,,USA,10f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1091
103,13:46.79,,Abdelhakim ABOUZOUHAIR,20 NOV 1997,MAR,8f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1090
104,13:47.96,,Malte PROPP,29 SEP 1999,GER,1,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,1086
105,13:49.20,,Kieran TUNTIVATE,16 FEB 1997,THA,12,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1081
105,13:49.20,,Bradley MAKUVIRE,08 MAR 1998,ZIM,7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",23 FEB 2024,1081
107,13:49.33,,Rogério AMARAL,19 FEB 2001,POR,11f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1081
108,13:49.53,,Andrew ALEXANDER,10 FEB 1999,CAN,12f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1080
109,13:49.79,,Keita YOSHIDA,31 AUG 1998,JPN,13f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1079
110,13:49.99,,Christopher MCLEOD,27 DEC 2000,GBR,2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,1079
111,13:50.55,,Carter SOLOMON,,USA,1f2,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1077
112,13:50.74,,Dayton BROWN,,USA,9f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1076
113,13:50.85,,Chandler GIBBENS,,USA,15f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1076
114,13:50.99,,Ben PERRIN,,USA,3,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,1075
115,13:51.02,,Hamza CHAHID,07 NOV 2001,MAR,1,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,1075
116,13:51.76,,Romain LEGENDRE,06 JAN 2000,FRA,2,,"Robert W. Plaster Center, Pittsburg, KS (USA) (i)",08 MAR 2024,1072
117,13:51.92,,Nikodem DWORCZAK,02 MAR 1998,POL,12f3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1072
118,13:51.93,,Christian PATZKA,,USA,10f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1072
119,13:51.99,,Jake GEBHARDT,,USA,4f2,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1072
120,13:52.07,,Will ANTHONY,30 AUG 2003,NZL,5f2,,"The Track at New Balance, Boston, MA (USA) (i)",22 FEB 2024,1071
121,13:52.22,,Skylar STIDAM,,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1071
122,13:52.37,,Charlie SIEBERT,,USA,1,,"Armory Track&Field Center, New York, NY (USA) (i)",27 JAN 2024,1070
123,13:52.38,,Tai DINGER,18 NOV 1995,USA,16f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1070
124,13:53.10,,Drew BOSLEY,08 OCT 2000,USA,4,,"The Podium, Spokane, WA (USA) (i)",23 FEB 2024,1068
125,13:53.32,,Micah WILSON,14 JAN 2004,USA,1,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,1067
126,13:53.46,,Barry KEANE,19 NOV 1997,IRL,17f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1066
127,13:53.70,,Matt STORER,,USA,11f4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1066
128,13:54.45,,Nickolas SCUDDER,,USA,3,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",23 FEB 2024,1063
129,13:54.57,,Joshua JOSEPH,,USA,1f6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1062
130,13:54.62,,Gable SIEPERDA,,USA,4,,"Sports Performance Center, Lubbock, TX (USA) (i)",23 FEB 2024,1062
131,13:54.68,,Owen MACKENZIE,,USA,2,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,1062
132,13:54.79,,Jan Lukas BECKER,22 SEP 1993,GER,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1062
133,13:55.35,,Zachary CLOUD,,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1060
134,13:55.42,,CarLee STIMPFEL,,USA,3,,"Gately Indoor TF Center, Chicago, IL (USA) (i)",09 FEB 2024,1059
