Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
150,2:25.83,,Joe HOOTS,20 MAR 1999,USA,2f2,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",22 JAN 2021,1010
150,2:25.83,,Pascal FURTWÄNGLER,19 JAN 1993,SUI,5f1,,"Stadion Hard, Langenthal (SUI)",13 MAY 2021,943
152,2:25.85,,Kal LEWIS,,USA,4,,"Iowa-Recreation Building, Iowa City, IA (USA) (i)",11 DEC 2021,1009
153,2:25.87,,Sergey YEVDOKIMOV,03 OCT 2000,RUS,6,,"SOK Luch, Yekaterinburg (RUS) (i)",07 JAN 2021,1009
154,2:25.90,,Jack JOYCE,16 APR 1997,USA,1,,"Rector Fieldhouse, Blacksburg, VA (USA) (i)",15 JAN 2021,1008
155,2:25.91,,Caden NORRIS,2002,USA,3f3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",03 DEC 2021,1008
156,2:25.94,,Luke SKINNER,,USA,1f2,,"Hughes Fieldhouse, Maryville, MO (USA) (i)",30 JAN 2021,0
157,2:25.98,,Petr PAVLIŠEN,30 JUN 1999,CZE,1,,Stará Boleslav (CZE),11 SEP 2021,940
158,2:25.99,,David SCHERRER,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1006
159,2:26.01,,Luca ZANETTI,16 JAN 2000,ITA,2f1,,"Stadio Paolo Rosi, Roma (ITA)",25 APR 2021,939
160,2:26.06,,Tomoya MORI,11 AUG 1999,JPN,7,,"Komazawa Olympic Park Athletic Stadium, Tokyo (JPN)",30 OCT 2021,938
161,2:26.07,,Reese WALTERS,,USA,4f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",16 JAN 2021,1004
162,2:26.09,,Brendan HEBERT,,USA,4,,"Sports Performance Center, Lubbock, TX (USA) (i)",27 FEB 2021,1004
162,2:26.09,,Stephen EVANS,07 JUL 1996,CAN,1,,"Track and Field Centre, Toronto (CAN) (i)",04 DEC 2021,1004
164,2:26.13,,Abdelakder MICHICHE,25 MAR 2001,ALG,4,,"Stade Bateau Casse, Algiers (ALG)",27 MAR 2021,937
165,2:26.19,,Dmitriy NEDELIN,25 NOV 1991,RUS,2f3,,"Znamenskikh Arena, Moskva (RUS) (i)",11 JAN 2021,1002
166,2:26.26,,Marcel TOBLER,13 SEP 2001,AUT,1,,"Stadion Eggenberg, Graz (AUT)",06 JUN 2021,934
167,2:26.27,,Yakoub DELHOUM,18 AUG 1992,FRA,3,,"Stade Bréquigny, Rennes (FRA)",10 SEP 2021,934
168,2:26.31,,Mickael YEYE,23 JUL 1999,FRA,4,,"Stade Charléty, Paris (FRA)",28 AUG 2021,933
168,2:26.31,,Konrad POGORZELSKI,06 MAR 2003,POL,1,,"Stadion MOSiR, Zielona Góra (POL)",07 SEP 2021,933
