Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
197,7.47,,Emily MAHER,02 MAY 1981,IRL,2,,Birmingham (GBR) (i),01 FEB 2003,1061
197,7.47,,Sheena JOHNSON-TOSTA,01 OCT 1982,USA,2,,"Seattle, WA (USA) (i)",01 FEB 2003,1061
197,7.47,,Verena SAILER,16 OCT 1985,GER,1sf1,,Leverkusen (GER) (i),16 FEB 2003,1061
197,7.47,,Lucia IVANOVÁ,08 JUL 1980,SVK,1h1,,Bratislava (SVK) (i),22 FEB 2003,1061
197,7.47,,Diana TUDORACHE,23 JUN 1984,ROU,2,,Bucureşti (ROU) (i),23 FEB 2003,1061
197,7.47,,Carolina KLÜFT,02 FEB 1983,SWE,2,,Västerås (SWE) (i),23 FEB 2003,1061
197,7.47,,Céline THELAMON,01 MAR 1979,FRA,6,,Clermont-Ferrand (FRA) (i),01 MAR 2003,1061
197,7.47,,Jessica FOX,10 JAN 1982,USA,3,,Air Force Academy (USA) (i),01 MAR 2003,1061
197,7.47,,Perdita FELICIEN,29 AUG 1980,CAN,7sf1,,"Bloomington, IN (USA) (i)",01 MAR 2003,1061
197,7.47,,Zhengchun PAN,27 FEB 1983,CHN,2h,,Shanghai (CHN) (i),02 MAR 2003,1061
209,7.48,,Seynabou N'DIAYE,1978,SEN,1h1,,"Flagstaff, AZ (USA) (i)",18 JAN 2003,1058
209,7.48,,LaKeisha GIVENS,04 JUL 1977,USA,1,,"Seattle, WA (USA) (i)",18 JAN 2003,1058
209,7.48,,Sharonda BOONE,10 JUL 1985,USA,3,,"University Park, PA (USA) (i)",31 JAN 2003,1058
209,7.48,,Authea CHAMBERS,16 JAN 1981,JAM,4h2,,"Cedar Falls, IA (USA) (i)",01 FEB 2003,1058
209,7.48,,Elina LAX,02 SEP 1981,FIN,1,,Tampere (FIN) (i),06 FEB 2003,1058
209,7.48,,Elena SORDELLI,13 APR 1976,ITA,2,,Modena (ITA) (i),15 FEB 2003,1058
209,7.48,,Jessica DEFREITAS,19 NOV 1980,USA,3,,"Chapel Hill, NC (USA) (i)",22 FEB 2003,1058
209,7.48,,La Nell SCARBROUGH,,USA,1,,"Colorado Springs, CO (USA) (i)",22 FEB 2003,1058
209,7.48,,Amélie HUYGHES,31 MAY 1982,FRA,1,,Bordeaux (FRA) (i),23 FEB 2003,1058
209,7.48,,Ayodelé IKUESAN,15 MAY 1985,FRA,1,,Bordeaux (FRA) (i),23 FEB 2003,1058
209,7.48,,Vesna KOSTIĆ,15 AUG 1979,SRB,5sf2,,"Lincoln, NE (USA) (i)",28 FEB 2003,1058
209,7.48,,Nina MAYES,10 AUG 1983,USA,1,,"Nampa, ID (USA) (i)",01 MAR 2003,1058
221,7.49,,Jordine KIMBREL,1984,USA,1,,"Allston, MA (USA) (i)",11 JAN 2003,1055
221,7.49,,Willisa HEINZ,28 MAR 1981,USA,2,,"Fayetteville, AR (USA) (i)",18 JAN 2003,1055
221,7.49,,Shekera WESTON,17 OCT 1977,USA,3h2,,"Johnson City, TN (USA) (i)",31 JAN 2003,1055
221,7.49,,Gergana KOSTOVA,06 FEB 1982,BUL,2,,Sofia (BUL) (i),08 FEB 2003,1055
221,7.49,,Sherita KING,04 AUG 1982,USA,3h3,,"Blacksburg, VA (USA) (i)",15 FEB 2003,1055
