Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
143,32:35.72,,Verity OCKENDEN,31 AUG 1991,GBR,8,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1108
144,32:35.84,,Honami MAEDA,17 JUL 1996,JPN,8,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1108
145,32:35.85,,Kaoutar FARKOUSSI,19 MAR 1996,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",26 JUN 2022,1108
146,32:36.90,,Joanne KIPKEMOI,27 NOV 1993,KEN,1,,"Honjo Athletic Stadium, Kitakyushu (JPN)",21 MAY 2022,1107
147,32:37.08,,Mercy CHELANGAT,11 JUL 1997,KEN,1,,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,1107
148,32:37.62,,Andrea Soraya RAMÍREZ LIMON,05 NOV 1992,MEX,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2022,1106
149,32:39.13,,Kazuna KANETOMO,19 AUG 2001,JPN,7f2,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1105
150,32:39.29,,Nozomi TANAKA,04 SEP 1999,JPN,2,,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,1105
151,32:39.57,,Misaki HAYASHIDA,07 DEC 1999,JPN,10,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1104
152,32:39.63,,Viktoriia KALIUZHNA,11 JUL 1994,UKR,2,,"Avangard Stadium, Lutsk (UKR)",09 SEP 2022,1104
153,32:40.30,,Pauline Chemning KORIKWIANG,01 MAR 1988,KEN,3,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",20 APR 2022,1104
154,32:41.30,,Misaki NISHIDA,07 AUG 1991,JPN,12,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1103
155,32:41.46,,Shiho KANESHIGE,07 JUN 1989,JPN,3,,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,1103
156,32:41.77,,Esther Birundu BORURA,05 JAN 2000,KEN,4,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",20 APR 2022,1102
157,32:42.27,,Sarah LAHTI,18 FEB 1995,SWE,14,,"Olympiastadion, München (GER)",15 AUG 2022,1102
158,32:43.82,,Domenika MAYER,09 OCT 1990,GER,4,,"Schönbuchstadion, Pliezhausen (GER)",07 MAY 2022,1101
159,32:44.38,,Natsuki OMORI,22 JUN 1994,JPN,9f2,,"Nagaragawa Stadium, Gifu (JPN)",23 SEP 2022,1100
160,32:44.57,,Yuki HIDAKA,22 JUL 1992,JPN,13,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1100
161,32:44.62,,Philippa BOWDEN,29 MAR 1995,GBR,9,,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1100
162,32:45.70,,Amelia MAZZA-DOWNIE,03 SEP 1999,AUS,4,,"Lakeside Stadium, Melbourne (AUS)",15 DEC 2022,1099
163,32:46.10,,Jovana DE LA CRUZ,12 JUL 1992,PER,14,,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAY 2022,1099
164,32:46.13,,Yukari ABE,21 AUG 1989,JPN,14,,"Athletic Track, Abashiri (JPN)",13 JUL 2022,1099
165,32:46.3h,,Brilliant CHEPKORIR,,KEN,4,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",26 APR 2022,1099
166,32:46.36,,Miki HIRAI,12 FEB 1996,JPN,8f2,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1098
167,32:47.53,,Yuyu XIA,01 MAR 1998,CHN,1,,"Xiannongtan Stadium, Beijing (CHN)",12 MAY 2022,1097
168,32:47.94,,Marcella HERZOG,24 FEB 1993,NED,1,,"Sportcomplex De Leidse Hout, Leiden (NED)",11 JUN 2022,1097
169,32:48.07,,Grace FORBES,,USA,2,,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,1097
170,32:48.52,,Aynslee VAN GRAAN,15 DEC 1995,RSA,,,"Lakeside Stadium, Melbourne (AUS)",15 DEC 2022,1097
171,32:48.60,,Celine IRANZI,04 APR 1994,RWA,11,,"Alexander Stadium, Birmingham (GBR)",03 AUG 2022,1097
172,32:49.84,,Kaltoum BOUAASAYRIYA,23 AUG 1982,MAR,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",26 JUN 2022,1095
173,32:50.06,,Brianna ROBLES,,USA,2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2022,1095
174,32:50.84,,Nana SATO,24 SEP 1989,JPN,5,,"Universiade Commemorative Stadium, Kobe (JPN)",24 APR 2022,1095
175,32:50.9h,,Tadu TESHOME,09 JUN 2001,ETH,10,,Hawassa (ETH),29 MAR 2022,1095
176,32:51.14,,Natsuki SEKIYA,16 MAY 1997,JPN,1f1,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1094
177,32:51.71,,Erina YASUI,29 NOV 1989,JPN,2f1,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2022,1094
178,32:52.04,,Ayuko SUZUKI,08 OCT 1991,JPN,2,,"Athletics Stadium, Fukagawa (JPN)",06 JUL 2022,1094
179,32:52.96,,Chikako MORI,25 NOV 1992,JPN,12,,"National Stadium, Tokyo (JPN)",07 MAY 2022,1093
180,32:53.16,,Yayla GÜNEN,01 MAR 1997,TUR,16f1,,"Stade Complexe Sportif Jean-Paul Chasseboeuf, Pacé (FRA)",28 MAY 2022,1093
180,32:53.16,,Mao UESUGI,16 AUG 1995,JPN,3,,"Athletics Stadium, Fukagawa (JPN)",06 JUL 2022,1093
182,32:53.23,,Rebecca CHEPTEGEI,22 FEB 1991,UGA,2,,"Mandela National Stadium, Kampala (UGA)",24 JUN 2022,1093
183,32:53.50,,Abbey WHEELER,29 OCT 1998,USA,3,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 APR 2022,1092
