Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
134,7:54.33,,Hiroki MATSUEDA,20 MAY 1993,JPN,3,,"Todoroki Stadium, Kawasaki (JPN)",21 MAY 2017,1089
135,7:54.34,,Carlos MAYO,18 SEP 1995,ESP,1,,Zaragoza (ESP) (i),04 FEB 2017,1112
135,7:54.34,,Collin LEIBOLD,13 DEC 1987,USA,4f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
137,7:54.38,,William Malel SITONIK,01 MAR 1994,KEN,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1089
138,7:54.47,,Samir DAHMANI,03 APR 1991,FRA,5,,Metz (FRA) (i),12 FEB 2017,1111
139,7:54.48,,Rob MULLETT,31 JUL 1987,GBR,10,,"Reggie Lewis Center, Boston, MA (USA) (i)",28 JAN 2017,1111
140,7:54.56,,Jesper VAN DER WIELEN,02 AUG 1991,NED,2,,Montgeron (FRA),14 MAY 2017,1088
141,7:54.62,,Tabor STEVENS,21 JUN 1991,USA,2,,"Cambridge, MA (USA) (i)",19 FEB 2017,1111
141,7:54.62,,Phillip KIPYEKO,10 JAN 1995,UGA,3f1,,Göteborg (SWE),11 JUL 2017,1088
143,7:54.63,,Aras KAYA,04 APR 1994,TUR,4,,Istanbul (TUR) (i),17 FEB 2017,1110
143,7:54.63,,Bashir ABDI,10 FEB 1989,BEL,,,"Hayward Field, Eugene, OR (USA)",27 MAY 2017,1087
145,7:54.66,,Per SVELA,19 MAR 1992,NOR,1,,"Bislett Stadion, Oslo (NOR)",15 JUN 2017,1087
146,7:54.73,,Andrew COLLEY,01 APR 1991,USA,9,,"Concord, MA (USA)",01 JUN 2017,1087
147,7:54.77,,M.J. ERB,02 FEB 1994,USA,1,,"Fayetteville, AR (USA) (i)",28 JAN 2017,1110
148,7:54.79,,Hyuga ENDO,05 AUG 1998,JPN,3,,Kitami (JPN),09 JUL 2017,1087
149,7:54.84,,William KINCAID,21 SEP 1992,USA,5f6,,"Seattle, WA (USA) (i)",11 FEB 2017,0
150,7:55.01,,Chala BEYO,18 JAN 1996,ETH,3,,Mondeville (FRA) (i),04 FEB 2017,1108
151,7:55.26,,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,3h1,,"Kombank Arena, Beograd (SRB) (i)",03 MAR 2017,1107
152,7:55.29,,Milkesa MENGESHA,16 APR 2000,ETH,4,,"Kasarani, Nairobi (KEN)",16 JUL 2017,1084
