Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
207,10:29.62,,Sariah ST.LAURENT,07 DEC 1985,USA,8,,"Eugene, OR (USA)",28 MAY 2005,1025
208,10:29.65,,Elizabeth MCCALLEY,27 OCT 1982,USA,2,,"Nashville, TN (USA)",14 MAY 2005,1025
209,10:29.72,,Alina PROCA,24 OCT 1983,ROU,2,,Benidorm (ESP),25 JUN 2005,1025
210,10:30.08,,Mira TUOMINEN,01 DEC 1981,FIN,2,,Pori (FIN),16 JUL 2005,1024
211,10:30.89,,Andrea BUCKNER,14 JUN 1984,USA,1,,"Tulsa, OK (USA)",13 MAY 2005,1022
212,10:31.24,,Urszula NĘCKA,28 JUN 1984,POL,1,,Bielsko-Biala (POL),11 SEP 2005,1021
213,10:31.34,,Alison COSTELLO,08 JUL 1985,USA,4,,"Westwood, CA (USA)",15 MAY 2005,1021
214,10:31.72,,Selien DE SCHRYDER,10 NOV 1986,BEL,5,,Zele (BEL),28 MAY 2005,1020
215,10:32.42,,Julia WEBB,14 FEB 1983,USA,1,,"La Crosse, WI (USA)",07 MAY 2005,1018
216,10:32.49,,Sarah KOLPIN,09 JAN 1981,USA,13,,"Walnut, CA (USA)",15 APR 2005,1018
216,10:32.49,,Gisele BARROS DE JESÚS,02 MAR 1983,BRA,5,,"Mangueirão, Belém (BRA)",22 MAY 2005,1018
218,10:32.92,,Kristin SWISHER,16 JUN 1983,USA,1,,"Abilene, TX (USA)",28 MAY 2005,1017
218,10:32.92,,Mary DAVIES,27 AUG 1982,NZL,,,Praha (CZE),09 JUL 2005,1017
220,10:33.06,,Claire MARTIN,14 SEP 1974,GBR,6,,Manchester (GBR),10 JUL 2005,1017
221,10:33.12,,Leonora JOY-PETRINA,29 JUL 1982,NZL,13,,"New York, NY (USA)",28 MAY 2005,1017
222,10:33.14,,Katrin ENGELEN,17 AUG 1976,GER,3,,Zeulenroda (GER),29 MAY 2005,1017
223,10:33.21,,Shauneen GARRAHAN,13 DEC 1984,USA,1,,"Waverly, IA (USA)",27 MAY 2005,1017
224,10:33.37,,Naolie KHATTOU,17 JUN 1985,FRA,2,,Nantes (FRA),01 JUN 2005,1016
225,10:33.38,,Angela AXMANN,1984,GER,1,,"Louisville, KY (USA)",28 MAY 2005,1016
226,10:33.39,,Amy RUFFOLO,05 MAY 1986,USA,1,,"Richmond, VA (USA)",07 MAY 2005,1016
