Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
148,8:40.66,,Vitaliy NEVYANTSEV,08 SEP 1983,RUS,2,,Sochi (RUS),30 MAY 2009,1076
149,8:40.74,,Joonas HARJAMÄKI,30 MAY 1986,FIN,9,,Beograd (SRB),11 JUL 2009,1075
150,8:40.85,,James Kosgei CHEPTUIYON,1984,KEN,3,,Baie Mahault (FRA),01 MAY 2009,1075
151,8:40.95,,Aleksandr CHUMSKIY,16 MAY 1983,RUS,1f1,,Cheboksary (RUS),23 JUL 2009,1074
152,8:41.05,,Le YANG,09 APR 1987,CHN,2,,Yulin (CHN),16 MAY 2009,1074
153,8:41.18,,Diego TAMAYO,06 DEC 1983,ESP,3,,Barakaldo (ESP),10 JUL 2009,1073
154,8:41.53,,José Luis GALVAN,30 AUG 1987,ESP,2,,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",19 JUL 2009,1072
155,8:41.64,,Amor BEN YAHIA,01 JUL 1985,TUN,1,,Radés (TUN),11 JUL 2009,1071
156,8:41.72,,Tomas TAJADURA JUEZ,25 JUN 1985,ESP,4,,Barakaldo (ESP),10 JUL 2009,1071
157,8:41.8h,,Sikhumbuso SEME,14 JUN 1985,RSA,2f1,,Durban (RSA),06 FEB 2009,1071
158,8:41.81,,Elam SINGH,21 FEB 1982,IND,4,,Guangzhou (CHN),12 NOV 2009,1071
159,8:41.83,,Mariusz GIŻYŃSKI,26 JUN 1981,POL,8,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUN 2009,1071
160,8:41.85,,Gilbert LIMO,05 MAY 1985,KEN,5h1,,"Fayetteville, AR (USA)",10 JUN 2009,1071
160,8:41.85,,Richard NELSON,10 DEC 1984,USA,1h2,,"Fayetteville, AR (USA)",10 JUN 2009,1071
160,8:41.85,,Jun SHINOTO,02 APR 1985,JPN,5,,Hiroshima (JPN),25 JUN 2009,1071
163,8:41.89,,Tsuyoshi TAKEDA,22 JAN 1987,JPN,5,,Guangzhou (CHN),12 NOV 2009,1070
164,8:41.95,,Tatsunori SHINOURA,02 SEP 1982,JPN,6,,Hiroshima (JPN),25 JUN 2009,1070
165,8:41.97,,Tom BROOKS,10 JAN 1978,USA,12f1,,"Palo Alto, CA (USA)",02 MAY 2009,1070
166,8:42.03,,Chris WINTER,22 JUL 1986,CAN,13f1,,"Palo Alto, CA (USA)",02 MAY 2009,1070
167,8:42.06,,Krystian ZALEWSKI,11 APR 1989,POL,3,,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",19 JUL 2009,1070
168,8:42.27,,Ezekiel Kimalel CHEBOITIBIN,10 JUL 1992,KEN,1,,Nara (JPN),02 AUG 2009,1069
169,8:42.32,,Ryosuke MAKI,25 APR 1986,JPN,6,,Niigata (JPN),05 OCT 2009,1069
170,8:42.47,,Tetsuya SASAKI,21 JUN 1986,JPN,7,,Niigata (JPN),05 OCT 2009,1068
171,8:42.69,,Sebastián MARTOS,20 JUN 1989,ESP,4,,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",19 JUL 2009,1067
172,8:42.71,,Steve STRICKLAND,04 JUL 1985,USA,2f1,,"Columbus, OH (USA)",01 MAY 2009,1067
173,8:43.07,,Benjamin BELLAMY,01 MAR 1984,FRA,3,,Pezenas (FRA),30 MAY 2009,1065
174,8:43.16,,Gladson Alberto SILVA BARBOSA,16 AUG 1979,BRA,4,,Rio de Janeiro (BRA),17 MAY 2009,1065
175,8:43.26,,Luis Miguel MARTÍN,11 JAN 1972,ESP,7,,Barcelona (ESP),01 AUG 2009,1064
176,8:43.38,,Celso FICAGNA,05 AUG 1975,BRA,5,,Rio de Janeiro (BRA),17 MAY 2009,1064
177,8:43.42,,Ryan GASPER,13 OCT 1986,USA,1f2,,"Palo Alto, CA (USA)",02 MAY 2009,1064
178,8:43.49,,Luke WATSON,20 AUG 1980,USA,1,,"Indianapolis, IN (USA)",30 MAY 2009,1063
179,8:43.71,,Kouta OTANI,29 OCT 1987,JPN,8,,Niigata (JPN),05 OCT 2009,1063
180,8:43.76,,Steve FINLEY,11 JAN 1988,USA,2,,"Princeton, NJ (USA)",15 MAY 2009,1062
181,8:43.79,,David ADAMS,04 JAN 1989,USA,15f1,,"Palo Alto, CA (USA)",02 MAY 2009,1062
182,8:43.91,,Ryan WARRENBURG,27 MAR 1984,USA,7,,"Eugene, OR (USA)",27 JUN 2009,1062
183,8:44.01,,Yang XIANG,12 JUN 1987,CHN,4,,Jinan (CHN),21 OCT 2009,1061
184,8:44.17,,Edwin KIPKORIR,03 SEP 1989,KEN,4,,Casablanca (MAR),14 JUN 2009,1061
185,8:44.25,,Ezkyas SISAY,05 DEC 1988,ETH,2f2,,"Palo Alto, CA (USA)",02 MAY 2009,1060
186,8:44.32,,Fernando Alex FERNANDES,12 MAR 1983,BRA,1,,Rio de Janeiro (BRA),06 JUN 2009,1060
187,8:44.40,,Desta ALEMU,18 FEB 1992,ETH,4,,Bambous (MRI),30 JUL 2009,1060
188,8:44.45,,Abdelaziz MERZOUGUI,30 AUG 1991,ESP,12,,Huelva (ESP),10 JUN 2009,1059
189,8:44.53,,Andrey KUZNETSOV,28 JAN 1980,RUS,7f2,,Cheboksary (RUS),23 JUL 2009,1059
190,8:44.66,,Donnie COWART,24 OCT 1985,USA,4h2,,"Fayetteville, AR (USA)",10 JUN 2009,1058
191,8:44.72,,Pavel OGLOBLEV,01 MAR 1986,RUS,2f1,,Cheboksary (RUS),23 JUL 2009,1058
192,8:44.79,,Marcos PEÓN,11 JAN 1983,ESP,6,,Barakaldo (ESP),10 JUL 2009,1058
193,8:44.80,,Sho OKAMURA,11 SEP 1985,JPN,5,,Sapporo (JPN),06 JUN 2009,1058
194,8:44.84,,Michael SIMON,23 NOV 1982,FRA,5,,Angers (FRA),24 JUL 2009,1058
195,8:45.0h,,Thuso Ishmael PHASWANA,06 SEP 1987,RSA,3f1,,Durban (RSA),06 FEB 2009,1057
196,8:45.00,,Matt BRUNSTING,26 MAR 1987,CAN,2,,London (CAN),03 JUN 2009,1057
197,8:45.10,,Wenyong SUN,09 FEB 1978,CHN,5,,Jinan (CHN),21 OCT 2009,1057
198,8:45.23,,Arkadusz ANKIEL,04 FEB 1989,POL,5,,Bydgoszcz (POL),02 AUG 2009,1056
199,8:45.37,,Andrey TROFIMOV,02 APR 1986,RUS,8f2,,Cheboksary (RUS),23 JUL 2009,1055
200,8:45.54,,Takamori YAMASHITA,05 SEP 1988,JPN,8,,Hiroshima (JPN),25 JUN 2009,1055
201,8:45.97,,Isaac Kiprotich TANUI,19 DEC 1986,KEN,3,,Pescara (ITA),23 MAY 2009,1053
202,8:46.03,,Georg MLYNEK,01 OCT 1980,AUT,6,,Cottbus (GER),08 AUG 2009,1053
203,8:46.15,,Nelson Dokita OLEMPAYIE,1979,KEN,1,,Alcamo (ITA),04 JUL 2009,1052
204,8:46.32,,Younes EL HADDAD,25 FEB 1988,FRA,5,,Pezenas (FRA),30 MAY 2009,1051
205,8:46.4h,,Jacob ARAPTANY,11 FEB 1992,UGA,1,,Kampala (UGA),24 JUL 2009,1051
206,8:46.46,,Sosse ABDERRAHMANE,1976,SWE,3,,Rabat (MAR),21 JUN 2009,1051
207,8:46.49,,Satoshi KATO,24 JUN 1980,JPN,9,,Hiroshima (JPN),25 JUN 2009,1051
208,8:46.5h,,Dikotsi LEKOPA,07 JUL 1988,RSA,5f1,,Durban (RSA),06 FEB 2009,1051
209,8:46.85,,Daniel PÉREZ,10 FEB 1986,ESP,1,,Málaga (ESP),18 JUL 2009,1049
210,8:46.87,,Sedat GÜNEN,20 SEP 1988,TUR,1,,Izmir (TUR),07 JUN 2009,1049
211,8:46.88,,Angelo IANNELLI,27 JUL 1976,ITA,3,,Milano (ITA),02 AUG 2009,1049
212,8:47.00,,Jonathan PIERCE,03 SEP 1983,USA,3,,"Eugene, OR (USA)",23 MAY 2009,1048
213,8:47.02,,Pavlo OLIYNYK,09 MAY 1988,UKR,4,,Yalta (UKR),22 JUL 2009,1048
214,8:47.10,,Reuben Chebon MWEI,04 DEC 1985,KEN,1,,"San Angelo, TX (USA)",23 MAY 2009,1048
215,8:47.21,,Tomohiro NAKAGAWA,04 FEB 1982,JPN,4,,Okayama (JPN),27 SEP 2009,1048
216,8:47.23,,Artur OLEJARZ,19 SEP 1988,POL,6,,Bydgoszcz (POL),02 AUG 2009,1048
217,8:47.36,,Matthew HUGHES,03 AUG 1989,CAN,5,,"Walnut, CA (USA)",16 APR 2009,1047
218,8:47.45,,Antonio ABADÍA,02 JUL 1990,ESP,1,,"Karađorđe Stadium, Novi Sad (SRB)",26 JUL 2009,1047
219,8:47.53,,Jairath SINGH,21 FEB 1982,IND,2,,Chennai (IND),23 OCT 2009,1046
220,8:47.66,,José María GONZÁLEZ,31 MAY 1973,ESP,7,,Barakaldo (ESP),10 JUL 2009,1046
221,8:47.87,,Osman BAS,10 FEB 1987,TUR,2,,Izmir (TUR),07 JUN 2009,1045
222,8:47.88,,Nabil OUHADI,18 AUG 1989,MAR,6,,Pezenas (FRA),30 MAY 2009,1045
223,8:47.89,,Łukasz OSLIZLO,14 MAY 1989,POL,11,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUN 2009,1045
224,8:48.06,,Jonathan PIERCE,28 APR 1988,USA,16f1,,"Palo Alto, CA (USA)",02 MAY 2009,1044
225,8:48.08,,David BRENT,17 AUG 1987,USA,3f1,,"Columbus, OH (USA)",01 MAY 2009,1044
226,8:48.16,,Alberto PAREDES,16 SEP 1979,ESP,8,,Barakaldo (ESP),10 JUL 2009,1044
