Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
214,8:46.05,,Siarhei BERDNIK,18 MAY 1982,BLR,4,,"Stadion Rošický, Praha (CZE)",18 JUN 2006,1053
215,8:46.09,,Abderrahman MOUATASSIM,1982,MAR,1,,Rabat (MAR),15 APR 2006,1052
215,8:46.09,,Hiroyoshi UMEGAE,05 JAN 1984,JPN,4,,Oita (JPN),30 SEP 2006,1052
217,8:46.61,,Yasunori UCHITOMI,29 OCT 1972,JPN,2,,Kobe (JPN),23 APR 2006,1050
218,8:46.65,,Zack SABATINO,11 MAR 1983,USA,3,,"Philadelphia, PA (USA)",27 APR 2006,1050
219,8:46.73,,Mateusz DEMCZYSZAK,18 JAN 1986,POL,7,,Bydgoszcz (POL),21 JUL 2006,1050
220,8:46.87,,Vaios KARRAS,1981,GRE,3,,Katerini (GRE),09 JUL 2006,1049
221,8:46.94,,Manuel SILVA,08 OCT 1978,POR,16,,"Estadio Iberoamericano, Huelva (ESP)",20 JUN 2006,1049
222,8:47.03,,Kamil MURZYN,26 MAR 1986,POL,14,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",01 JUN 2006,1048
223,8:47.05,,Zhongrui WANG,26 OCT 1984,CHN,4,,Shijiazhuang (CHN),06 AUG 2006,1048
