Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
147,9:57.55,,Janette SCHRAFT,,USA,10f7,,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2023,1101
148,9:57.68,,Linda PALUMBO,12 FEB 1999,ITA,5,,"Putbosstadion, Oordegem (BEL)",27 MAY 2023,1101
149,9:58.02,,Aziza CHIGATAEVA,27 MAR 2000,USA,3f3,,"Paul Derr TF Facility, Raleigh, NC (USA)",24 MAR 2023,1100
150,9:58.21,,Isavella KOTSACHEILI,18 SEP 1997,GRE,6,,"Putbosstadion, Oordegem (BEL)",27 MAY 2023,1099
151,9:58.45,,Zita URBÁN,22 APR 2002,HUN,6f1,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",20 MAY 2023,1099
152,9:58.70,,Katie RAINSBERGER,18 AUG 1998,USA,8,,"Mt. Hood Community College, Gresham, OR (USA)",03 JUN 2023,1098
153,9:59.12,,Elizabeth BIRD,04 OCT 1994,GBR,11,,"Olympic Stadium, London (GBR)",23 JUL 2023,1097
154,9:59.39,,Helena May LINDSAY,,JPN,3f1,,"Franklin Field, Philadelphia, PA (USA)",27 APR 2023,1097
155,9:59.41,,Olivia MORGANTI,25 MAR 2002,USA,2h3,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",27 MAY 2023,1096
156,9:59.58,,Elena Adelina PANAET,05 JUN 1993,ROU,1,,"Stadionul Iolanda Balas Soter, Bucureşti (ROU)",03 JUN 2023,1096
157,9:59.67,,Carmen RIAÑO,08 NOV 2001,ESP,2h1,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",27 MAY 2023,1096
158,9:59.77,,Linda WREDE,09 OCT 1993,GER,4,,"Auestadion, Kassel (GER)",09 JUL 2023,1096
159,9:59.96,,Adia BUDDE,29 JUL 2005,GER,1,,"Jahnstadion, Osterode (GER)",10 JUN 2023,1095
160,10:00.00,,Lena MILLONIG,25 MAR 1998,AUT,1,,"Stadion Eggenberg, Graz (AUT)",18 MAY 2023,1095
161,10:00.45,,Panpan WANG,17 JUN 2003,CHN,2,,"Sports Center, Quzhou (CHN)",22 JUL 2023,1094
161,10:00.45,,Lotte KRAUSE,29 NOV 1992,NED,2,,"Atletiekbaan Breda, Breda (NED)",29 JUL 2023,1094
163,10:00.59,,Harper MCCLAIN,06 MAY 2003,USA,9,,"Mt. Hood Community College, Gresham, OR (USA)",03 JUN 2023,1094
164,10:00.66,,Asenath ETILE,21 MAY 1990,FRA,3,,"Stadium Municipal, Albi (FRA)",28 JUL 2023,1093
165,10:00.96,,Shirley LANG,29 JUN 2002,SUI,6h1,,"Leppävaaran Stadion, Espoo (FIN)",13 JUL 2023,1093
166,10:01.04,,Gabrielle ORIE,,USA,10,,"Mt. Hood Community College, Gresham, OR (USA)",03 JUN 2023,1093
167,10:01.19,,Chiara SCHERRER,24 JAN 1996,SUI,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",17 JUN 2023,1092
168,10:01.34,,Ava O'CONNOR,19 SEP 2003,IRL,8,,"Leppävaaran Stadion, Espoo (FIN)",15 JUL 2023,1092
169,10:02.03,,Andreea STAVILA,13 DEC 2000,MDA,5f1,,"Stadion Śląski, Chorzów (POL)",22 JUN 2023,1090
170,10:02.20,,Katharina PESENDORFER,11 OCT 1999,AUT,9,,"LAZ Wien, Wien (AUT)",17 JUN 2023,1090
171,10:02.44,,Annabelle EASTMAN,21 JAN 2000,AUS,1,,"George Mason Stadium, Fairfax, VA (USA)",08 APR 2023,1089
172,10:02.69,,Sofia THØGERSEN,06 JUL 2005,DEN,3,,Copenhagen (DEN),28 MAY 2023,1089
173,10:02.77,,Poppy TANK,05 DEC 1997,GBR,1,,"Manchester Regional Arena, Manchester (GBR)",08 JUL 2023,1088
174,10:02.98,,Ina NOVIK,13 DEC 2000,BLR,2,,"Dinamo National Olympic Stadium, Minsk (BLR)",29 JUL 2023,1088
175,10:03.05,,Gracie HYDE,,USA,2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",12 MAY 2023,1088
176,10:03.08,,Iraia MENDIA,11 MAY 2003,ESP,2,,"Estadi Natalia Rodríguez, Tarragona (ESP)",01 JUL 2023,1088
177,10:03.29,,Dana KLEIN,,USA,4,,"Los Angeles, CA (USA)",22 JUL 2023,1087
178,10:03.49,,Anna MÁLKOVÁ,17 APR 2001,CZE,11,,"LAZ Wien, Wien (AUT)",17 JUN 2023,1087
179,10:03.51,,Anna Mark HELWIGH,12 MAR 2000,DEN,4f1,,"Franklin Field, Philadelphia, PA (USA)",27 APR 2023,1087
180,10:03.83,,Lindsey ADAMS,05 SEP 1997,USA,11,,"Mt. Hood Community College, Gresham, OR (USA)",03 JUN 2023,1086
181,10:03.95,,Stevie LAWRENCE-WRIST,18 FEB 1997,GBR,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 APR 2023,1086
182,10:04.00,,Taryn O'NEILL,18 NOV 2000,CAN,1f6,,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2023,1085
183,10:04.17,,Hannah STEGENWALLNER,20 JAN 2002,GER,10,,"Putbosstadion, Oordegem (BEL)",27 MAY 2023,1085
184,10:04.29,,Mirelle LEITE,11 MAR 2002,BRA,8,,"Lantos Mihály Sportközpont, Budapest (HUN)",08 JUN 2023,1085
185,10:04.34,,Hayleigh HAID,,USA,1,,"Percy Beard Track, Gainesville, FL (USA)",31 MAR 2023,1085
186,10:04.57,,Karolína JAROŠOVÁ,20 MAR 2006,CZE,1f1,,"Givat Ram Stadium, Jerusalem (ISR)",09 AUG 2023,1084
187,10:04.59,,Li BAI,30 MAR 1996,CHN,3,,Rizhao (CHN),27 APR 2023,1084
188,10:04.72,,Leila HADJI,01 JAN 1998,FRA,1,,"Stade Adolphe Cheron, St-Maur (FRA)",14 JUN 2023,1084
189,10:05.06,,Alice MURRAY-GOURLAY,1992,GBR,2,,"Manchester Regional Arena, Manchester (GBR)",08 JUL 2023,1083
190,10:05.31,,Katja PATTIS,21 MAY 2002,ITA,2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",13 APR 2023,1082
191,10:05.35,,Lucinda CROUCH,29 JAN 2000,AUS,13f7,,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2023,1082
192,10:05.38,,Edna JEPKEMBOI,04 MAR 2002,KEN,4,,"Nyayo National Stadium, Nairobi (KEN)",25 FEB 2023,1082
193,10:05.43,,Anne-Sophie CHAUME,24 DEC 1988,FRA,7f1,,"Stade Raymond Troussier, Decines (FRA)",08 JUL 2023,1082
