Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
150,10:01.61,,Teresa CHEROTICH,04 MAY 2006,KEN,4f2,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",19 APR 2024,1091
151,10:01.69,,Helena May LINDSAY,,JPN,3,,"Geroge C. Griffin Track, Atlanta, GA (USA)",10 MAY 2024,1091
152,10:01.95,,Diana CHEPKEMOI,25 JAN 2007,KEN,4,,"Nyayo National Stadium, Nairobi (KEN)",22 MAY 2024,1090
153,10:02.85,,Isavella KOTSACHEILI,18 SEP 1997,GRE,1,,"Atletiekbaan Brakkenstein, Nijmegen (NED)",18 MAY 2024,1088
154,10:02.91,,Karawan HALABI,18 JAN 1995,ISR,2,,"Hadar Yosef Stadium, Tel Aviv (ISR)",23 MAY 2024,1088
155,10:03.25,,Calli DOAN,11 AUG 2000,USA,4sf3,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1087
156,10:03.31,,Elena BURKARD,10 FEB 1992,GER,11f2,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1087
157,10:03.43,,Vilde Våge HENRIKSEN,16 SEP 2000,NOR,5f2,,"Kentner Stadium Wake Forest University, Winston Salem, NC (USA)",19 APR 2024,1087
158,10:03.57,,Ayana YAMASHITA,23 FEB 2004,JPN,6,,"Yanmar Stadium Nagai, Osaka (JPN)",12 MAY 2024,1086
159,10:03.58,,Lindsey ADAMS,05 SEP 1997,USA,13,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1086
160,10:03.68,,Sophia MCDONNELL,,USA,2,,"Veterans Memorial Stadium, Clovis, CA (USA)",10 MAY 2024,1086
161,10:03.94,,Lauren HALL,06 JUN 1991,GBR,1f2,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1086
162,10:04.03,,Ryley FICK,,USA,3f2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",18 APR 2024,1085
163,10:04.71,,Xinyan ZHANG,09 FEB 1994,CHN,1f1,,"Guoxin Sports Center, Qingdao (CHN)",13 MAY 2024,1084
164,10:05.47,,Kerstin SCHULZE KALTHOFF,29 OCT 1998,GER,17f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1082
165,10:05.60,,Karina KOSTROMINA,25 JUN 2001,RUS,4,,"Slava Metreveli Stadium, Sochi (RUS)",22 MAY 2024,1082
166,10:05.66,,Emily JOBES,,USA,3,,"Veterans Memorial Stadium, Clovis, CA (USA)",10 MAY 2024,1081
167,10:05.90,,Azza BOROVICKA-SWANSON,,USA,4f1,,"Franklin Field, Philadelphia, PA (USA)",25 APR 2024,1081
168,10:06.06,,Kennady FONTENOT,,USA,5f1,,"Franklin Field, Philadelphia, PA (USA)",25 APR 2024,1081
169,10:06.20,,Yiting YANG,15 MAR 2004,CHN,1f1,,"HOC Stadium, Hangzhou (CHN)",14 APR 2024,1080
170,10:06.29,,Jessica SCHERIFF,14 JUN 1996,GBR,5f2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",18 APR 2024,1080
171,10:06.83,,Morgan HYKES,,USA,3,,"Griswold Stadium, Portland, OR (USA)",04 MAY 2024,1079
172,10:06.87,,Mirelle LEITE,11 MAR 2002,BRA,4f2,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",26 APR 2024,1079
173,10:06.89,,Floriane QUESADA,12 DEC 2000,FRA,18f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1079
174,10:06.92,,Faith DEMARS,26 MAY 2002,USA,1,,"UVA Lanningan Field, Charlottesville, VA (USA)",19 APR 2024,1078
