Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
141,13:26.19,,Drew BOSLEY,08 OCT 2000,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1164
142,13:26.27,,Victor KIPROP,,KEN,3,,"Nyayo National Stadium, Nairobi (KEN)",29 MAY 2021,1115
143,13:26.32,,Benjamin DE HAAN,27 FEB 1993,NED,3f1,,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1115
144,13:26.34,,Zouhair TALBI,08 APR 1995,MAR,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",27 JUN 2021,1115
145,13:26.41,,David RIBICH,27 DEC 1995,USA,2f1,,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1115
146,13:26.57,,Soufiane BOUCHIKHI,22 MAR 1990,BEL,4f1,,"Slottsskogsvallen, Göteborg (SWE)",02 JUN 2021,1114
147,13:26.62,,Brandon GARNICA,14 NOV 1999,USA,4,,"Hayward Field, Eugene, OR (USA)",02 APR 2021,1114
148,13:26.74,,Hillary BOR,22 NOV 1989,USA,2,,"St. Michael's HS, Austin, TX (USA)",27 FEB 2021,1114
149,13:26.78,,Ryuji MIURA,11 FEB 2002,JPN,1f1,,"Municipal Stadium, Kitami (JPN)",14 JUL 2021,1113
150,13:26.94,,Evans YEGO,05 SEP 1995,KEN,4f2,,"Aoba Park Athletic Field, Chitose (JPN)",17 JUL 2021,1113
151,13:27.10,,Dominic LANGAT,15 MAY 1995,KEN,1f1,,"Athletic Track, Abashiri (JPN)",10 JUL 2021,1112
152,13:27.20,,Frank LARA,25 SEP 1995,USA,3f1,,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1112
153,13:27.26,,Isaac GREEN,,USA,12,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1112
154,13:27.34,,Anthony KIBE,27 MAR 2003,KEN,1f42,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",05 DEC 2021,1111
155,13:27.39,,Graham BLANKS,24 APR 2002,USA,3,,"Bishop Feehan HS, Boston, MA (USA)",29 MAY 2021,1111
156,13:27.51,,Egide NTAKARUTIMANA,21 OCT 1997,BDI,1f1,,"Stadio San Cassiano, Alba (ITA)",03 SEP 2021,1111
157,13:27.73,,Takashi ICHIDA,16 JUN 1992,JPN,1,,"National Stadium, Tokyo (JPN)",09 MAY 2021,1110
158,13:27.83,,Mebuki SUZUKI,03 JUN 2001,JPN,2f1,,"Athletic Track, Abashiri (JPN)",10 JUL 2021,1110
159,13:27.95,,Samuel CHELANGA,23 FEB 1985,USA,4f1,,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1109
160,13:28.02,,Josphat Ledama KISAISA,25 JUN 1998,KEN,3f20,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",03 OCT 2021,1109
161,13:28.03,,Reid BUCHANAN,03 FEB 1993,USA,5f1,,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1109
162,13:28.04,,Leonard KORIR,10 DEC 1986,USA,6,,"Drake Stadium, Des Moines, IA (USA)",23 APR 2021,1109
163,13:28.09,,Iliass AOUANI,29 SEP 1995,ITA,14,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1109
164,13:28.10,,Andrew JORDAN,05 AUG 1997,USA,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1157
165,13:28.11,,Victor Kipkirui KORIR,14 AUG 2002,KEN,12f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1109
166,13:28.12,,Tom MORTIMER,07 JAN 1999,GBR,4,,"Stadion Śląski, Chorzów (POL)",29 MAY 2021,1109
167,13:28.26,,Hiroki MATSUEDA,20 MAY 1993,JPN,5,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2021,1108
168,13:28.27,,Alexander Mutiso MUNYAO,10 SEP 1996,KEN,1f3,,"Athletics Stadium, Hadano (JPN)",19 JUN 2021,1108
169,13:28.52,,Andreas VOJTA,09 JUN 1989,AUT,10,,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1107
170,13:28.55,,Davis KIPLANGAT,10 JUL 1998,KEN,5,,"Estadio Iberoamericano, Huelva (ESP)",03 JUN 2021,1107
171,13:28.56,,Dinkalem AYELE,19 DEC 2000,ETH,4,,"Campo Sportivo Putti, Bergamo (ITA)",12 MAY 2021,1107
172,13:28.61,,Girma MECHESO,16 JAN 1988,USA,7,,"Drake Stadium, Des Moines, IA (USA)",23 APR 2021,1107
173,13:28.79,,Ehab EL-SANDALI,01 JAN 1997,CAN,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1155
174,13:28.82,,Takuya HANYU,08 NOV 1997,JPN,13f3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 SEP 2021,1106
175,13:28.95,,George KUSCHE,06 AUG 1998,RSA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1154
176,13:28.97,,Adriaan WILDSCHUTT,03 MAY 1998,RSA,1f1,,"University of North Florda Jax Track at Hodges Stadium, Jacksonville, FL (USA)",29 APR 2021,1106
177,13:29.00,,Jose Juan ESPARZA,26 AUG 1990,MEX,7f1,,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1106
178,13:29.04,,Sergio JIMÉNEZ,07 JAN 1995,ESP,4f1,,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1105
179,13:29.17,,Jordan GUSMAN,30 JAN 1994,MLT,5f1,,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1105
180,13:29.26,,Andreas ALMGREN,12 JUN 1995,SWE,1,,"Olympiastadion, Stockholm (SWE)",04 SEP 2021,1105
181,13:29.30,,Alex CHERONO,30 DEC 2000,KEN,1f4,,"Chukyo Univ. Stadium, Toyota (JPN)",17 APR 2021,1105
182,13:29.33,,Cleophas Kandie MEYAN,14 AUG 2000,KEN,2,,"National Stadium, Tokyo (JPN)",09 MAY 2021,1104
183,13:29.42,,Philip MULUWA,03 MAR 2002,KEN,6f30,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",14 NOV 2021,1104
184,13:29.47,,Hayden WILDE,01 SEP 1997,NZL,1,,"Porritt Stadium, Hamilton (NZL)",13 FEB 2021,1104
184,13:29.47,,Akira AIZAWA,18 JUL 1997,JPN,3,,"National Stadium, Tokyo (JPN)",09 MAY 2021,1104
186,13:29.58,,Willy FINK,07 MAR 1994,USA,8f1,,"Irvine, CA (USA)",15 MAY 2021,1104
187,13:29.60,,Eric HAMER,23 MAR 1997,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",12 MAR 2021,1152
188,13:29.65,,Hazuma HATTORI,07 FEB 1995,JPN,4,,"National Stadium, Tokyo (JPN)",09 MAY 2021,1103
189,13:29.66,,Mbuleli MATHANGA,24 SEP 1993,RSA,2f1,,"Coetzenburg Stadium, Stellenbosch (RSA)",28 MAR 2021,1103
190,13:29.89,,Lawi LALANG,15 JUN 1991,USA,8f1,,"Griswold Stadium, Portland, OR (USA)",29 MAY 2021,1102
191,13:29.91,,Ren TAZAWA,11 NOV 2000,JPN,4f1,,"Aoba Park Athletic Field, Chitose (JPN)",17 JUL 2021,1102
