Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
118,8:38.70,,Tumisang MONATLALA,31 OCT 1995,RSA,1,,Stellenbosch (RSA),04 APR 2014,1084
119,8:38.74,,Mason FERLIC,05 AUG 1993,USA,1h1,,"Jacksonville, FL (USA)",30 MAY 2014,1084
120,8:38.75,,Ole HESSELBJERG,23 APR 1990,DEN,3,,"Eugene, OR (USA)",14 JUN 2014,1084
120,8:38.75,,Daniel LUNDGREN,04 JUL 1985,SWE,1,,Kortrijk (BEL),12 JUL 2014,1084
122,8:38.76,,Hiroyoshi UMEGAE,05 JAN 1984,JPN,4,,Yamaguchi (JPN),11 OCT 2014,1084
123,8:38.78,,Radouane MAJDOUB,,MAR,6,,Fes (MAR),24 MAY 2014,1084
124,8:39.02,,Mauricio VALDIVIA VERDUGO,11 OCT 1989,CHI,4,,Montbéliard (FRA),06 JUN 2014,1083
125,8:39.12,,Mounaime SASSIOUI,20 MAR 1995,MAR,7,,Fes (MAR),24 MAY 2014,1082
126,8:39.27,,Ibrahim EZZAYDOUNI,28 APR 1991,ESP,1,,Barcelona (ESP),18 JUN 2014,1082
127,8:39.32,,Salim KEDDAR,23 NOV 1993,ALG,2,,Algiers (ALG),24 JUN 2014,1081
128,8:39.33,,Diego TAMAYO,06 DEC 1983,ESP,2,,Kortrijk (BEL),12 JUL 2014,1081
129,8:39.44,,Ben BRUCE,10 SEP 1982,USA,1h2,,"Sacramento, CA (USA)",27 JUN 2014,1081
130,8:39.53,,Kaur KIVISTIK,29 APR 1991,EST,2f2,,"Palo Alto, CA (USA)",04 MAY 2014,1081
131,8:39.54,,Tom Erling KÅRBØ,04 FEB 1989,NOR,2,,Oordegem (BEL),31 MAY 2014,1080
131,8:39.54,,Hironori TSUETAKI,08 MAY 1993,JPN,3,,Fukushima (JPN),06 JUN 2014,1080
133,8:39.62,,Tareq Mubarak TAHER,01 DEC 1986,BRN,2,,Incheon (KOR),29 SEP 2014,1080
134,8:39.83,,Andrico WILLIAMS,,RSA,2,,Stellenbosch (RSA),04 APR 2014,1079
135,8:39.9h,,Silas Kosgei KITUM,25 MAY 1990,KEN,12,,Nairobi (KEN),07 JUN 2014,1079
136,8:40.0h,,Eliud KIBET,,KEN,1,,Eldoret (KEN),31 MAY 2014,1079
137,8:40.10,,Ben SIWA,27 MAY 1989,UGA,1,,Kampala (UGA),12 JUL 2014,1078
138,8:40.28,,Bjørnar Ustad KRISTENSEN,26 JAN 1982,NOR,1,,Sandnes (NOR),02 AUG 2014,1077
139,8:40.35,,Travis MAHONEY,25 JUL 1990,USA,7f1,,"Los Angeles, CA (USA)",15 MAY 2014,1077
140,8:40.48,,Mark DRAPER,28 JUN 1984,GBR,4f2,,"Los Angeles, CA (USA)",15 MAY 2014,1076
140,8:40.48,,Simon AYEKO,10 MAY 1987,UGA,9,,Beijing (CHN),21 MAY 2014,1076
142,8:40.64,,Ieuan THOMAS,17 JUL 1989,GBR,3,,Oordegem (BEL),31 MAY 2014,1076
143,8:40.68,,Molemo MAQEBA,1995,RSA,3,,Stellenbosch (RSA),04 APR 2014,1076
